Event ID,Event Name,Focus Unit,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T20,T30,T40,T50,T100,T200,T300,T400,T500,T1000,T2000,T3000,T4000,T5000,T10000,T20000,T30000,T40000,T50000,T100000
88,The Phoenix in the Distant Sky,Tsukasa Tenma,"269,420,517","239,088,517","216,420,696","200,027,488","188,608,319","188,608,319","188,351,788","188,351,788","158,822,517","151,711,227","88,888,888","69,696,969","60,088,517","55,655,254","32,702,928","10,000,000","9,253,528","6,919,333","7,004,758","4,701,477","2,585,000","2,095,000","3,170,000","1,954,773","1,220,000","895,000",,,,"230,000"
89,Immiscible Discord,Kanade Yoisaki,"239,827,210","189,210,330","188,210,322","172,372,313","105,831,210","102,696,271","102,305,517","101,330,210","100,666,022","100,210,127","65,000,093","50,817,509","38,000,000","35,891,227","22,477,780","7,777,777","10,000,000","8,570,970","6,542,750","4,470,000","4,093,916","3,510,000","3,415,000","1,844,000","1,950,000",,,,,
90,In This Singing City,Shiho Hinomori,"210,811,027","144,430,108","139,108,309","134,010,007","110,108,471","104,082,021","103,088,831","102,684,469","101,106,764","95,811,027","58,582,137","48,000,187","42,047,432","40,061,169","29,159,997","22,544,440","4,790,000","4,363,424","8,316,639","6,091,423","4,500,000","3,765,562","2,600,000","3,015,807","1,096,000",,,,,
91,Get Over It,Saki Tenma,"204,040,509","147,509,909","123,509,517","100,953,126","100,000,081","100,000,059","90,294,522","80,118,509","60,430,509","59,812,710","40,509,509","34,810,790","22,528,606","19,919,837","14,169,904","5,600,000","15,224,529","12,610,000","4,210,635","3,254,155","1,880,000","1,631,000","3,362,372","1,712,538","2,048,000",,,,,
92,Friendship Rebuilt,Airi Momoi,"259,304,193","200,304,193","161,048,596","150,000,000","144,666,666","140,034,319","137,105,319","131,900,126","131,313,131","131,112,319","42,069,944","36,086,332","32,893,517","32,181,727","19,319,929","11,500,000","4,100,000","5,928,287","4,700,000","3,475,000","2,603,640","2,237,000","2,228,333","1,622,869","990,000",,,,,
93,We Escape to Survive,Mizuki Akiyama,"260,233,069","250,827,127","240,740,318","214,827,109","190,056,827","176,155,069","169,827,127","169,130,069","161,270,340","161,130,217","125,000,001","77,444,444","68,868,844","63,382,278","49,631,324","7,350,000","7,398,842","7,636,838","11,911,071","7,962,843","3,360,000","2,835,573","1,770,000","3,270,020","1,580,000",,,,,
94,One Small Trip Before a Big Journey,Haruka Kiritani,"200,811,105","123,456,789","112,170,105","104,811,105","83,295,293","72,618,623","62,291,059","61,215,739","58,105,811","55,251,817","30,107,819","25,345,972","20,364,121","18,683,245","12,834,689","25,538,219","19,243,804","16,000,000","3,610,000","2,810,000","2,518,500","3,745,442","2,590,065","1,454,000","1,250,000",,,,,
95,The Song of a Canary in Crisis,Nene Kusanagi,"220,799,726","200,909,720","172,000,207","161,017,720","157,624,720","153,720,190","153,207,246","152,800,720","152,720,624","152,516,720","58,479,720","45,831,083","41,103,946","40,000,720","20,688,990","8,417,972","10,259,032","8,921,120","5,652,530","4,008,000","4,682,103","1,920,000","2,118,000","1,990,000","2,017,238",,,,,
96,"To You, My Caring Companion",Honami Mochizuki,"178,001,027","150,000,000","128,601,178","111,111,111","106,010,210","105,127,100","102,721,099","101,226,308","101,170,227","92,101,027","60,205,852","45,545,453","40,909,127","38,262,860","25,739,409","11,050,000","5,790,000","4,950,000","7,383,908","5,200,000","3,100,000","2,838,454","2,055,000","2,445,000","1,410,000",,,,,
97,Light Up the Fire,An Shiraishi,"272,652,533","251,228,928","159,525,726","141,525,726","139,006,960","135,509,726","135,509,726","132,550,726","128,525,726","126,726,086","47,441,400","35,555,555","32,465,348","30,620,372","21,514,440","8,000,000","8,257,734","7,123,217","6,020,000","4,193,250","2,250,000","2,290,000","1,610,482","1,874,000","1,540,000",,,,,
98,Step by Step!,Minori Hanasato,"273,160,000","218,414,302","218,414,302","122,222,222","120,055,555","118,196,144","102,721,100","102,023,620","100,000,906","90,000,000","41,300,104","30,456,230","26,144,510","22,000,065","15,296,227","9,900,000","7,271,846","5,720,000","4,467,746","3,409,176","3,270,083","2,090,000","2,048,000","1,753,000","1,400,000",,,,,
99,An Unmissable Spirited Affair,Rui Kamishiro,"230,624,517","220,000,088","200,123,022","175,711,074","170,000,707","169,246,227","161,442,931","160,517,624","160,134,571","151,000,707","120,517,624","101,209,023","96,000,020","86,880,157","60,348,721","10,300,000","4,187,505","6,038,232","15,345,572","9,100,000","2,650,000","2,278,000","2,048,000","3,215,000","1,207,000",,,,,
100,"Farewell, My Mask",Mafuyu Asahina,"272,011,013","264,127,210","242,624,127","224,000,127","200,130,127","200,110,207","170,122,706","152,369,118","150,000,610","147,210,127","108,824,127","82,504,547","69,525,688","58,826,493","33,033,778","6,450,000","10,154,352","6,198,748","8,619,436","5,573,475","2,472,729","1,892,622",,"2,147,274","1,000,000",,,,,
101,Our Constellation of Song,Ichika Hoshino,"300,090,811","273,811,509","211,048,596","166,931,725","158,117,053","150,000,000","145,000,311","141,185,762","141,181,162","140,811,016","68,126,315","50,831,811","36,088,700","33,966,126","20,901,138","12,500,000","6,781,452","4,350,365","4,782,830","3,450,000","1,990,000","3,818,525",,"1,695,000","1,130,000",,,,,
102,Bustling Cafe ?REC!,Airi Momoi,"222,222,222","211,030,726","200,827,039","159,319,827","144,420,827","131,959,827","130,705,300","118,000,319","104,000,827","98,388,376","65,555,555","49,265,036","36,348,894","33,827,422","25,595,175","12,446,230","45,946,308","7,406,923","6,818,112","4,846,883","2,167,000","1,750,720",,"2,472,880","2,166,287",,,,,
103,On Your Feet,Kohane Azusawa,"185,171,120","181,512,918","181,000,302","155,127,308","150,016,040","147,210,525","132,624,525","122,914,418","113,330,119","111,217,105","58,415,413","41,111,023","31,400,927","29,445,395","18,749,556","6,470,117","12,324,171","5,820,367","5,400,000","4,130,000","4,450,000","1,766,790",,"2,044,000",,,,,,
104,Our Happy Ending,Emu Otori,"232,720,909","200,000,000","180,000,000","128,599,720","120,517,909","90,981,115","90,913,720","86,184,983","84,971,221","84,971,221","52,827,827","43,249,565","37,593,002","36,298,139","21,462,122","51,904,569","11,300,000","38,194,406","5,741,492","4,124,964","2,681,000",,,"1,832,000",,,,,,
105,Let SEKAI Hear Your Song!,Hatsune Miku,"230,000,039","217,831,130","172,115,130","151,703,390","139,013,108","131,227,831","127,393,939","114,217,130","112,270,214","108,706,261","63,181,227","52,806,840","45,029,648","43,425,464","25,499,295","9,533,418","11,198,526","10,014,971","6,004,497","4,321,440","2,015,890",,,"1,942,350",,,,,,
106,Our Precious Memories,Saki Tenma,"181,005,509","164,000,905","159,818,326","99,333,336","99,108,509","89,108,509","89,108,509","88,888,888","75,909,319","69,696,969","39,000,000","32,500,000","26,876,122","24,801,905","14,675,750","17,141,297","11,400,000","9,400,000","3,677,388","2,835,739","2,601,082",,,"1,691,946",,,,,,
107,Let's Study Hard!,An Shiraishi,"229,216,358","210,827,726","169,182,726","121,700,632","100,278,246","100,000,000","88,827,726","88,270,624","87,242,017","86,240,827","64,593,696","43,222,222","35,000,086","30,303,030","17,288,720","15,730,334",,"8,828,151","4,198,531","3,193,745","2,110,000",,,"3,346,309",,,,,,
108,Hello to a New Day!,Ichika Hoshino,"233,707,430","210,001,207","139,517,414","127,061,996","127,061,996","112,233,445","108,108,108","102,000,175","101,714,365","100,000,000","55,131,482","40,451,731","33,624,031","28,383,136","22,158,613","16,758,743",,,"8,458,509","6,568,000","2,601,082",,,"1,989,538",,,,,,
109,Burn My Soul,Akito Shinonome,"200,111,232","139,517,302","127,111,232","127,111,232","119,210,300","111,232,130","103,333,333","101,429,619","100,112,811","96,513,014","64,111,216","53,801,112","43,017,775","40,125,422","29,483,402",,,,"7,106,783","4,557,493",,,,"1,539,544",,,,,,
110,Stick to Your Faith,Shiho Hinomori,"261,200,081","253,303,108","250,000,081","211,919,018","130,630,108","102,731,823","100,000,250","92,910,318","81,181,027","81,181,027","41,000,320","24,230,000","21,348,153","18,753,162","13,270,826",,,,"3,915,405","2,940,000",,,,"1,951,370",,,,,,
